22 22
15 4 0.73
15 5 0.75
15 6 0.77
15 7 0.77
15 8 0.77
15 9 0.77
15 10 0.77
15 11 0.77
15 12 0.77
15 13 0.77
15 14 0.77
15 15 0.77
15 16 0.75
15 17 0.73
15 18 0.71
15 19 0.69
15 20 0.67
15 21 0.65
16 0 0.65
16 1 0.67
16 2 0.69
16 3 0.71
16 4 0.73
16 5 0.75
16 6 0.75
16 7 0.75
16 8 0.75
16 9 0.75
16 10 0.75
16 11 0.75
16 12 0.75
16 13 0.75
16 14 0.75
16 15 0.75
16 16 0.75
16 17 0.73
16 18 0.71
16 19 0.69
16 20 0.67
16 21 0.65
17 0 0.65
17 1 0.67
17 2 0.69
17 3 0.71
17 4 0.73
17 5 0.73
17 6 0.73
17 7 0.73
17 8 0.73
17 9 0.73
17 10 0.73
17 11 0.73
17 12 0.73
17 13 0.73
17 14 0.73
17 15 0.73
17 16 0.73
17 17 0.73
17 18 0.71
17 19 0.69
17 20 0.67
17 21 0.65
18 0 0.65
18 1 0.67
18 2 0.69
18 3 0.71
18 4 0.71
18 5 0.71
18 6 0.71
18 7 0.71
18 8 0.71
18 9 0.71
18 10 0.71
18 11 0.71
18 12 0.71
18 13 0.71
18 14 0.71
18 15 0.71
18 16 0.71
18 17 0.71
18 18 0.71
18 19 0.69
18 20 0.67
18 21 0.65
19 0 0.65
19 1 0.67
19 2 0.69
19 3 0.69
19 4 0.69
19 5 0.69
19 6 0.69
19 7 0.69
19 8 0.69
19 9 0.69
19 10 0.69
19 11 0.69
19 12 0.69
19 13 0.69
19 14 0.69
19 15 0.69
19 16 0.69
19 17 0.69
19 18 0.69
19 19 0.69
19 20 0.67
19 21 0.65
20 0 0.65
20 1 0.67
20 2 0.67
20 3 0.67
20 4 0.67
20 5 0.67
20 6 0.67
20 7 0.67
20 8 0.67
20 9 0.67
20 10 0.67
20 11 0.67
20 12 0.67
20 13 0.67
20 14 0.67
20 15 0.67
20 16 0.67
20 17 0.67
20 18 0.67
20 19 0.67
20 20 0.67
20 21 0.65
21 0 0.65
21 1 0.65
21 2 0.65
21 3 0.65
21 4 0.65
21 5 0.65
21 6 0.65
21 7 0.65
21 8 0.65
21 9 0.65
21 10 0.65
21 11 0.65
21 12 0.65
21 13 0.65
21 14 0.65
21 15 0.65
21 16 0.65
21 17 0.65
21 18 0.65
21 19 0.65
21 20 0.65
21 21 0.65
